SEGMENT_NAME,SEGSIZE
PARAMETER_YIELD_CONTINUE_HOUR,1920
IDX_PARA_YIELD_CONTINUEHOUR,720
PARAMETER_YIELD_SUMMARY_HOUR,544
SLIDER_DATA_S,288
SUMMARY_ACC_P_BK,216
SUMMARY_P_Y_BK_26102018,208
IDX_PARA_YIELD_SUMMHOUR,200
SUMMARY_P_Y_BK_31102018,192
TEMP_LOGMNR,184
SUMMARY_P_Y_BK_30102018,176
BIN$eYpHkVM/VfrgUAoKs5Ycdg==$0,176
SUMMARY_P_Y_BK_27102018,168
SUMMARY_P_Y_BK_01112018,136
SUMMARY_P_Y_BK_29102018,112
PARAMETER_YIELD_CONTINUE_HOUR,88
IDX_SLIDER_DATA_TTIME,88
IDX_SUMMARY_ACC_P_BK,61
IDX_P_Y_BK_26102018,39
IDX_P_Y_BK_31102018,36
BIN$eYpHkVM+VfrgUAoKs5Ycdg==$0,33
IDX_P_Y_BK_30102018,32
OVERALL_YIELD_CONTINUE_HOUR,31
IDX_P_Y_BK_27102018,31
PARAMETER_YIELD_SUMMARY_HOUR,26
IDX_P_Y_BK_01112018,25
SUMMARY_ACC_VALUE_TEMP,24
IDX_P_Y_BK_29102018,21
IDX2_SUM_ACC_VALUE_TEMP,20
SUMMARY_FIRST_FAIL,17
IDX_OVER_YIELD_CONTINUEHOUR,14
SUMMARY_PARAMETER_YIELD,12
OVERALL_YIELD_SUMMARY_HOUR,10
IDX_SUM_ACC_VALUE_TEMP,9
IDX_SUMM_TIRST_FAIL,7
SLIDER_YIELD_S,5
IDX_OVERALL_YIELD_SUMMHOUR,4
BIN$eYpHkVM0VfrgUAoKs5Ycdg==$0,3
SUMMARY_O_Y_BK_30102018,3
SUMMARY_O_Y_BK_26102018,3
SUMMARY_O_Y_BK_31102018,3
IDX_SUMMARY_PARA,3
SUMMARY_O_Y_BK_27102018,3
IDX_SLIDER_YIELD_S,3
SUMMARY_O_Y_BK_29102018,2
SUMMARY_P_Y_BK_28102018,2
SUMMARY_O_Y_BK_01112018,2
ALERT_INFO,1
PARA_SPEC,0.9375
IDX_O_Y_BK_26102018,0.8125
IDX_O_Y_BK_31102018,0.8125
TESTER,0.6875
BIN$eYpHkVMzVfrgUAoKs5Ycdg==$0,0.6875
IDX_O_Y_BK_30102018,0.6875
IDX_O_Y_BK_27102018,0.6875
SYS_C00974337,0.625
SYS_C00974696,0.5625
IDX_O_Y_BK_01112018,0.5625
IDX_O_Y_BK_29102018,0.5625
IDX_P_Y_BK_28102018,0.4375
PK_ALERT_INFO,0.25
SUMMARY_OVERALL_YIELD,0.25
TESTER_STATUS,0.125
SUMMARY_ACC_O_BK,0.125
TOTAL_TESTER_SQL,0.125
IDX_SUM_ACC_O_TEMP,0.125
CONNECTION_INFO,0.125
PARA,0.125
IDX_SUMMARY_ACC_O_BK,0.125
IDX_O_Y_BK_28102018,0.0625
OVERALL_YIELD_SPEC_BAK,0.0625
PK_CONFIG_INFO,0.0625
PK_PROCESS_INFO,0.0625
PK_PROJECT,0.0625
PK_PROJECT_BIN,0.0625
SYS_C00974416,0.0625
PK_PROJECTLIST,0.0625
PK_STATUS_INFO,0.0625
PK_USER_INFO,0.0625
PK_TOTAL_TESTER_SQL,0.0625
CONFIG_INFO,0.0625
SUMMARY_O_Y_BK_28102018,0.0625
OVERALL_YIELD_SPEC,0.0625
MARKING_LIST,0.0625
ITEM_CTRL,0.0625
USER_LIST,0.0625
USER_INFO,0.0625
SUMMARY_ACC_O_TEMP,0.0625
STATUS_INFO,0.0625
SPC_PROJECTLIST,0.0625
PROJECT_LIST2,0.0625
PROJECT_LIST,0.0625
PROJECT_BIN,0.0625
PROJECT,0.0625
PROGRAM_LIST,0.0625
PROCESS_ITEM_SPEC,0.0625
PROCESS_INFO,0.0625
